JBlk		Description
88(+512):	active Journal Block Header (Transaction: 0 )
89:		active Journal Block Header (Transaction: 0 )
90:		active Journal Block Header (Transaction: 0 )
91:		active Journal Block Header (Transaction: 0 )
92:		active Journal Block Header (Transaction: 0 )
93:		active Journal Block Header (Transaction: 0 )
94:		active Journal Block Header (Transaction: 0 )
95:		active Journal Block Header (Transaction: 0 )
96:		active Journal Block Header (Transaction: 0 )
96(+512):	active write to sector: 648
97:		active write to sector: 648
97(+512):	active write to sector: 2203712
98:		active write to sector: 2203712
99:		active write to sector: 2203712
99(+512):	active write to sector: 2
99(+1024):	active write to sector: 2090064
100:		active write to sector: 2090064
101:		active write to sector: 2090064
101(+1024):	active write to sector: 2204544
102:		active write to sector: 2204544
103:		active write to sector: 2204544
103(+1024):	active write to sector: 1947920
104:		active write to sector: 1947920
105:		active write to sector: 1947920
105(+1024):	active write to sector: 2204976
106:		active write to sector: 2204976
107:		active write to sector: 2204976
107(+1024):	active write to sector: 2203648
108:		active write to sector: 2203648
109:		active write to sector: 2203648
109(+1024):	active write to sector: 1923536
110:		active write to sector: 1923536
111:		active write to sector: 1923536
111(+1024):	active write to sector: 1923520
112:		active write to sector: 1923520
113:		active write to sector: 1923520
113(+1024):	active write to sector: 2207472
114:		active write to sector: 2207472
115:		active write to sector: 2207472
115(+1024):	active write to sector: 2204576
116:		active write to sector: 2204576
117:		active write to sector: 2204576
117(+1024):	active write to sector: 656
118:		active write to sector: 656
118(+1024):	active write to sector: 31184
119:		active write to sector: 31184
120:		active write to sector: 31184
120(+1024):	active write to sector: 31168
121:		active write to sector: 31168
122:		active write to sector: 31168
122(+1024):	active write to sector: 2207504
123:		active write to sector: 2207504
124:		active write to sector: 2207504
124(+1024):	active write to sector: 1928944
125:		active write to sector: 1928944
126:		active write to sector: 1928944
126(+1024):	active write to sector: 2203552
127:		active write to sector: 2203552
128:		active write to sector: 2203552
128(+1024):	active write to sector: 2203680
129:		active write to sector: 2203680
130:		active write to sector: 2203680
130(+1024):	active write to sector: 2114560
131:		active write to sector: 2114560
132:		active write to sector: 2114560
132(+1024):	active write to sector: 2114544
133:		active write to sector: 2114544
134:		active write to sector: 2114544
134(+1024):	active write to sector: 2204224
135:		active write to sector: 2204224
136:		active write to sector: 2204224
136(+1024):	active write to sector: 2106160
137:		active write to sector: 2106160
138:		active write to sector: 2106160
138(+1024):	active write to sector: 2106176
139:		active write to sector: 2106176
140:		active write to sector: 2106176
140(+1024):	active write to sector: 2204368
141:		active write to sector: 2204368
142:		active write to sector: 2204368
142(+1024):	active write to sector: 2114528
143:		active write to sector: 2114528
144:		active write to sector: 2114528
144(+1024):	active write to sector: 1948848
145:		active write to sector: 1948848
146:		active write to sector: 1948848
146(+1024):	active write to sector: 2029616
147:		active write to sector: 2029616
148:		active write to sector: 2029616
148(+1024):	active write to sector: 2204256
149:		active write to sector: 2204256
150:		active write to sector: 2204256
150(+1024):	active write to sector: 2203664
151:		active write to sector: 2203664
152:		active write to sector: 2203664
152(+1024):	active write to sector: 2081328
153:		active write to sector: 2081328
154:		active write to sector: 2081328
154(+1024):	active write to sector: 1944960
155:		active write to sector: 1944960
156:		active write to sector: 1944960
156(+1024):	active write to sector: 1947040
157:		active write to sector: 1947040
158:		active write to sector: 1947040
158(+1024):	active write to sector: 2107712
159:		active write to sector: 2107712
160:		active write to sector: 2107712
160(+1024):	active write to sector: 2203104
161:		active write to sector: 2203104
162:		active write to sector: 2203104
162(+1024):	active write to sector: 2114512
163:		active write to sector: 2114512
164:		active write to sector: 2114512
164(+1024):	active write to sector: 2016848
165:		active write to sector: 2016848
166:		active write to sector: 2016848
166(+1024):	active write to sector: 1938768
167:		active write to sector: 1938768
168:		active write to sector: 1938768
168(+1024):	active write to sector: 2109792
169:		active write to sector: 2109792
170:		active write to sector: 2109792
170(+1024):	active write to sector: 2113168
171:		active write to sector: 2113168
172:		active write to sector: 2113168
172(+1024):	active write to sector: 18888
173:		active write to sector: 18888
173(+1024):	active write to sector: 2062592
174:		active write to sector: 2062592
175:		active write to sector: 2062592
175(+1024):	active write to sector: 2078640
176:		active write to sector: 2078640
177:		active write to sector: 2078640
177(+1024):	active write to sector: 1925936
178:		active write to sector: 1925936
179:		active write to sector: 1925936
179(+1024):	active write to sector: 2109840
180:		active write to sector: 2109840
181:		active write to sector: 2109840
181(+1024):	active write to sector: 2205248
182:		active write to sector: 2205248
183:		active write to sector: 2205248
183(+1024):	active write to sector: 2157568
184:		active write to sector: 2157568
185:		active write to sector: 2157568
185(+1024):	active write to sector: 2205280
186:		active write to sector: 2205280
187:		active write to sector: 2205280
187(+1024):	active Journal Block Header (Transaction: 1 )
188:		active Journal Block Header (Transaction: 1 )
189:		active Journal Block Header (Transaction: 1 )
190:		active Journal Block Header (Transaction: 1 )
191:		active Journal Block Header (Transaction: 1 )
192:		active Journal Block Header (Transaction: 1 )
193:		active Journal Block Header (Transaction: 1 )
194:		active Journal Block Header (Transaction: 1 )
195:		active Journal Block Header (Transaction: 1 )
195(+1024):	active write to sector: 2203552
196:		active write to sector: 2203552
197:		active write to sector: 2203552
197(+1024):	active write to sector: 2
197(+1536):	active write to sector: 648
198:		active write to sector: 648
198(+1536):	active write to sector: 2204976
199:		active write to sector: 2204976
200:		active write to sector: 2204976
200(+1536):	active write to sector: 1923536
201:		active write to sector: 1923536
202:		active write to sector: 1923536
202(+1536):	active write to sector: 1923520
203:		active write to sector: 1923520
204:		active write to sector: 1923520
204(+1536):	active write to sector: 2207472
205:		active write to sector: 2207472
206:		active write to sector: 2207472
206(+1536):	active write to sector: 2203680
207:		active write to sector: 2203680
208:		active write to sector: 2203680
208(+1536):	active write to sector: 2205248
209:		active write to sector: 2205248
210:		active write to sector: 2205248
210(+1536):	active write to sector: 2203104
211:		active write to sector: 2203104
212:		active write to sector: 2203104
212(+1536):	active write to sector: 18888
213:		active write to sector: 18888
213(+1536):	active write to sector: 2109840
214:		active write to sector: 2109840
215:		active write to sector: 2109840
215(+1536):	active Journal Block Header (Transaction: 2 )
216:		active Journal Block Header (Transaction: 2 )
217:		active Journal Block Header (Transaction: 2 )
218:		active Journal Block Header (Transaction: 2 )
219:		active Journal Block Header (Transaction: 2 )
220:		active Journal Block Header (Transaction: 2 )
221:		active Journal Block Header (Transaction: 2 )
222:		active Journal Block Header (Transaction: 2 )
223:		active Journal Block Header (Transaction: 2 )
223(+1536):	active write to sector: 2203104
224:		active write to sector: 2203104
225:		active write to sector: 2203104
225(+1536):	active write to sector: 2109840
226:		active write to sector: 2109840
227:		active write to sector: 2109840
227(+1536):	active write to sector: 2162688
228:		active write to sector: 2162688
229:		active write to sector: 2162688
229(+1536):	active write to sector: 2205248
230:		active write to sector: 2205248
231:		active write to sector: 2205248
231(+1536):	active write to sector: 2
231(+2048):	active Journal Block Header (Transaction: 3 )
232:		active Journal Block Header (Transaction: 3 )
233:		active Journal Block Header (Transaction: 3 )
234:		active Journal Block Header (Transaction: 3 )
235:		active Journal Block Header (Transaction: 3 )
236:		active Journal Block Header (Transaction: 3 )
237:		active Journal Block Header (Transaction: 3 )
238:		active Journal Block Header (Transaction: 3 )
239:		active Journal Block Header (Transaction: 3 )
239(+2048):	active write to sector: 2203104
240:		active write to sector: 2203104
241:		active write to sector: 2203104
241(+2048):	active write to sector: 2
241(+2560):	active write to sector: 648
242:		active write to sector: 648
242(+2560):	active write to sector: 18888
243:		active write to sector: 18888
243(+2560):	active Journal Block Header (Transaction: 4 )
244:		active Journal Block Header (Transaction: 4 )
245:		active Journal Block Header (Transaction: 4 )
246:		active Journal Block Header (Transaction: 4 )
247:		active Journal Block Header (Transaction: 4 )
248:		active Journal Block Header (Transaction: 4 )
249:		active Journal Block Header (Transaction: 4 )
250:		active Journal Block Header (Transaction: 4 )
251:		active Journal Block Header (Transaction: 4 )
251(+2560):	active write to sector: 2185056
252:		active write to sector: 2185056
253:		active write to sector: 2185056
253(+2560):	active write to sector: 1926752
254:		active write to sector: 1926752
255:		active write to sector: 1926752
255(+2560):	active write to sector: 1938336
256:		active write to sector: 1938336
257:		active write to sector: 1938336
257(+2560):	active write to sector: 2
257(+3072):	active write to sector: 648
258:		active write to sector: 648
258(+3072):	active write to sector: 38480
259:		active write to sector: 38480
260:		active write to sector: 38480
260(+3072):	active write to sector: 31168
261:		active write to sector: 31168
262:		active write to sector: 31168
262(+3072):	active write to sector: 1923536
263:		active write to sector: 1923536
264:		active write to sector: 1923536
264(+3072):	active write to sector: 1923520
265:		active write to sector: 1923520
266:		active write to sector: 1923520
266(+3072):	active write to sector: 2207488
267:		active write to sector: 2207488
268:		active write to sector: 2207488
268(+3072):	active write to sector: 1925728
269:		active write to sector: 1925728
270:		active write to sector: 1925728
270(+3072):	active write to sector: 1935296
271:		active write to sector: 1935296
272:		active write to sector: 1935296
272(+3072):	active write to sector: 152
273:		active write to sector: 152
273(+3072):	active write to sector: 38512
274:		active write to sector: 38512
275:		active write to sector: 38512
275(+3072):	active write to sector: 2160304
276:		active write to sector: 2160304
277:		active write to sector: 2160304
277(+3072):	active write to sector: 2203264
278:		active write to sector: 2203264
